frequency,quantity
2,0.02933026
3,0.04912093
4,0.01761627
5,0.02796116
6,0.01674058
7,0.01700138
8,0.03460623
10,0.01380915
11,0.01232466
16,0.01278903
2,0.03873126
3,0.0414823
4,0.02117816
5,0.04168227
6,0.01706767
7,0.04761509
8,0.02574423
9,0.01365238
10,0.04287747
12,0.01554006
13,0.01232268
14,0.01304049
15,0.02850502
2,0.03873126
3,0.0414823
4,0.02117816
5,0.04168227
6,0.01706767
7,0.04761509
8,0.02574423
9,0.01365238
10,0.04287747
12,0.01554006
13,0.01232268
14,0.01304049
15,0.02850502
0,0.01101677
1,0.01435108
2,0.04560829
3,0.04868496
4,0.02534803
5,0.04655281
6,0.02135628
7,0.05937904
8,0.03239933
9,0.01197018
10,0.05489005
12,0.02558543
13,0.0161337
14,0.01149729
15,0.04467318
1,0.01049215
2,0.04875617
3,0.05041125
4,0.01732428
5,0.06254663
6,0.01058126
7,0.05689136
8,0.04253071
9,0.01038273
10,0.07800401
11,0.01282475
12,0.02988225
13,0.01782424
15,0.06166974
16,0.01693902
17,0.01144988
18,0.01429702
19,0.01055049
20,0.01156109
0,0.02213131
1,0.02608339
2,0.06116582
3,0.03668845
5,0.0776553
6,0.01998314
7,0.06256454
8,0.04048876
10,0.07359412
11,0.02390246
12,0.04404537
14,0.01240467
15,0.04421372
17,0.01291986
0,0.02213131
1,0.02608339
2,0.06116582
3,0.03668845
5,0.0776553
6,0.01998314
7,0.06256454
8,0.04048876
10,0.07359412
11,0.02390246
12,0.04404537
14,0.01240467
15,0.04421372
17,0.01291986
0,0.01910918
1,0.02327575
2,0.05642991
3,0.0396832
5,0.08338974
6,0.02065699
7,0.06208657
8,0.0368541
9,0.01291845
10,0.07112076
11,0.02150523
12,0.04178351
15,0.04326972
17,0.01152224
0,0.01088748
1,0.01505972
2,0.04618646
3,0.04446954
4,0.01559071
5,0.08893632
6,0.02899439
7,0.07050996
8,0.03007989
9,0.0115594
10,0.0631064
11,0.01509107
12,0.03974694
13,0.0131728
15,0.04273682
16,0.0101428
17,0.01776085
1,0.01300288
2,0.04601765
3,0.04098158
4,0.0120871
5,0.08746824
6,0.02497386
7,0.06924143
8,0.02735711
9,0.01500312
10,0.05919941
11,0.01520334
12,0.04074046
13,0.01239036
14,0.01360104
15,0.03726609
16,0.01462157
17,0.01899287
0,0.01068213
1,0.01458143
2,0.04655376
3,0.03784082
4,0.01672542
5,0.06859852
6,0.01028824
7,0.05558372
8,0.04568788
9,0.03138567
10,0.03937967
12,0.03647264
13,0.0207448
14,0.01963202
15,0.02831307
17,0.0118787
0,0.01866937
1,0.02179219
2,0.05236678
3,0.03315162
4,0.01793976
5,0.06658006
6,0.01137246
7,0.06350845
8,0.038978
9,0.02710882
10,0.04201049
12,0.04320159
13,0.01750869
14,0.0231451
15,0.0316181
17,0.01099759
1,0.01103648
2,0.04289366
3,0.04374203
4,0.02717836
5,0.06006641
6,0.01168182
7,0.07004873
8,0.03846766
9,0.02524431
10,0.04679411
11,0.01248348
12,0.04268399
13,0.02439138
14,0.03134024
15,0.03044894
17,0.01119623
0,0.01094492
1,0.01343717
2,0.03769348
3,0.04562087
4,0.02205221
5,0.05317228
6,0.02731262
7,0.07005914
8,0.05087009
9,0.01229107
10,0.0441907
12,0.02425752
13,0.02739869
15,0.0358757
0,0.01094492
1,0.01343717
2,0.03769348
3,0.04562087
4,0.02205221
5,0.05317228
6,0.02731262
7,0.07005914
8,0.05087009
9,0.01229107
10,0.0441907
12,0.02425752
13,0.02739869
15,0.0358757
0,0.01227422
1,0.01409972
2,0.03701454
3,0.04201054
4,0.02369114
5,0.05750936
6,0.02532737
7,0.07376727
8,0.05062099
9,0.01361762
10,0.03852956
12,0.02721898
13,0.02819124
14,0.01446254
15,0.03269838
18,0.01096696
1,0.01094949
2,0.03523625
3,0.04301842
4,0.01697409
5,0.05904767
6,0.02677776
7,0.06497362
8,0.06464488
9,0.01736275
10,0.04061517
12,0.01495355
13,0.03529641
14,0.01207875
15,0.03162887
18,0.01335208
0,0.01121529
1,0.01360064
2,0.03727243
3,0.04568241
4,0.01721391
5,0.05367703
6,0.03095481
7,0.059992
8,0.07043136
9,0.01802543
10,0.03291919
12,0.01360338
13,0.03284362
14,0.01079931
15,0.01985212
1,0.01016979
2,0.03239801
3,0.04476391
4,0.01999793
5,0.05212629
6,0.02986412
7,0.06748272
8,0.07097299
9,0.01994281
10,0.03163382
11,0.01054545
12,0.0200463
13,0.03376424
14,0.01237601
15,0.01927892
17,0.0105289
2,0.02868909
3,0.04605192
4,0.02313456
5,0.05195251
6,0.03000316
7,0.07242842
8,0.06931303
9,0.02029094
10,0.030637
11,0.01261999
12,0.02596005
13,0.03030716
15,0.01905926
17,0.01028987
2,0.03086076
3,0.04451536
4,0.02725361
5,0.05652893
6,0.0284535
7,0.07544714
8,0.06273465
9,0.0190858
10,0.03164245
11,0.01005284
12,0.03001428
13,0.03064178
14,0.0118577
15,0.02159732
17,0.01138587
0,0.01272899
1,0.01452795
2,0.03787651
3,0.04226616
4,0.02260826
5,0.05039293
6,0.0263327
7,0.07818814
8,0.04136132
9,0.01082489
10,0.03913052
12,0.03312138
13,0.02251553
15,0.03031557
0,0.01272899
1,0.01452795
2,0.03787651
3,0.04226616
4,0.02260826
5,0.05039293
6,0.0263327
7,0.07818814
8,0.04136132
9,0.01082489
10,0.03913052
12,0.03312138
13,0.02251553
15,0.03031557
2,0.03866609
3,0.03536705
4,0.021006
5,0.06378774
6,0.01278388
7,0.07202935
8,0.0481688
9,0.01340937
10,0.0522574
11,0.01463468
12,0.04025602
13,0.0222656
15,0.04106227
16,0.01549998
18,0.012973
19,0.01133057
0,0.01907872
1,0.02237897
2,0.05047369
3,0.02611715
5,0.083662
6,0.02555144
7,0.08371042
8,0.04267133
9,0.01392304
10,0.05744757
11,0.02564882
12,0.06044951
15,0.03020804
17,0.01265147
0,0.01722005
1,0.0207115
2,0.04596436
3,0.03034088
5,0.08257276
6,0.02366805
7,0.07931203
8,0.04498074
9,0.01595997
10,0.05673374
11,0.02284571
12,0.05177593
14,0.01101026
15,0.02813985
17,0.0109424
1,0.01120366
2,0.03861187
