frequency,quantity
2,0.01552287
3,0.01857606
5,0.01826313
8,0.01580516
2,0.01552287
3,0.01857606
5,0.01826313
8,0.01580516
2,0.02856226
3,0.0132216
4,0.02221642
5,0.02649989
7,0.0226423
9,0.03625228
10,0.01560991
11,0.02320663
12,0.01608602
13,0.01160335
14,0.0222667
16,0.01108848
2,0.03587832
3,0.03242312
4,0.03045413
5,0.05019143
7,0.03524824
8,0.01910967
9,0.04979291
10,0.03979661
11,0.02135258
12,0.02778078
14,0.03896065
0,0.02047663
1,0.02441938
2,0.06011743
3,0.02251416
5,0.07667131
6,0.02466602
7,0.06497543
8,0.01094433
9,0.04447734
10,0.05578779
11,0.01755982
12,0.0515321
13,0.02005624
14,0.05534929
15,0.01386214
0,0.01860952
1,0.02275036
2,0.06154487
3,0.02917625
5,0.08881465
6,0.03102231
7,0.07097171
8,0.01289285
9,0.04315891
10,0.06070214
11,0.01716278
12,0.0500573
13,0.01338064
14,0.04683639
15,0.02724005
16,0.01031665
17,0.01441945
0,0.01229877
1,0.0154999
2,0.05371429
3,0.03834087
4,0.03132129
5,0.0707738
6,0.01300342
7,0.04013627
8,0.03025234
9,0.06118059
10,0.05858051
11,0.02323059
12,0.0344064
13,0.01277664
14,0.05650594
15,0.01984668
16,0.01039978
2,0.04423879
3,0.0428376
4,0.03655875
5,0.06426763
7,0.05090949
8,0.02692674
9,0.05777668
10,0.06210947
11,0.02640351
12,0.04107008
14,0.05180333
15,0.0204959
16,0.01306227
0,0.01851986
1,0.02193506
2,0.05687185
3,0.01496313
4,0.01827616
5,0.07231064
6,0.02588359
7,0.07573646
8,0.02549442
9,0.06960018
10,0.03153894
12,0.06425078
13,0.02047843
14,0.07043027
0,0.01119684
1,0.01393572
2,0.04483896
3,0.03024582
4,0.02979077
5,0.064334
6,0.01233165
7,0.0523909
8,0.02473519
9,0.05671269
10,0.05036811
11,0.02681662
12,0.04645163
14,0.05667672
15,0.01398561
16,0.01066605
2,0.03835649
3,0.03574712
4,0.03528956
5,0.05711293
7,0.06100629
8,0.01894523
9,0.05348781
10,0.05029026
11,0.02651353
12,0.04659057
14,0.05487244
15,0.01773063
16,0.01486486
2,0.03835649
3,0.03574712
4,0.03528956
5,0.05711293
7,0.06100629
8,0.01894523
9,0.05348781
10,0.05029026
11,0.02651353
12,0.04659057
14,0.05487244
15,0.01773063
16,0.01486486
0,0.01846338
1,0.02173816
2,0.05176805
3,0.01651101
4,0.01038289
5,0.08044634
6,0.02676327
7,0.08309912
9,0.03763548
10,0.06168248
11,0.02295107
12,0.0724991
13,0.01956623
14,0.04908947
15,0.01684582
0,0.01272351
1,0.01525565
2,0.04166437
3,0.02713577
4,0.01929928
5,0.07431133
6,0.01137805
7,0.06844635
8,0.03971607
9,0.04515803
10,0.06070804
11,0.01240708
12,0.05318128
13,0.02031967
14,0.03219698
15,0.02444905
17,0.01138107
0,0.01136048
1,0.01375176
2,0.04005622
3,0.03003185
4,0.02158992
5,0.07039464
7,0.06914022
8,0.04431555
9,0.04497841
10,0.05788327
11,0.01034714
12,0.05708316
13,0.01984805
14,0.03005655
15,0.02865765
2,0.03100856
3,0.04025061
4,0.03286964
5,0.06164899
6,0.01054758
7,0.07699837
8,0.03529512
9,0.04487842
10,0.05873366
11,0.01417633
12,0.05729333
13,0.0188606
14,0.03063836
15,0.02856087
16,0.01223172
1,0.01261625
2,0.04308725
3,0.02397943
4,0.01534998
5,0.07551543
6,0.01829718
7,0.08738343
8,0.01548393
9,0.02316346
10,0.07486551
11,0.02797192
12,0.07283343
13,0.0127951
14,0.03442913
15,0.03259195
16,0.01516437
17,0.01951004
18,0.0105904
20,0.01127316
1,0.01193237
2,0.04265912
3,0.0271665
4,0.01665748
5,0.07756925
6,0.01714131
7,0.0829995
8,0.03133658
9,0.04594431
10,0.06237838
11,0.01919745
12,0.06492476
14,0.03322589
15,0.03014085
16,0.01612811
17,0.0163617
24,0.01182205
1,0.01193237
2,0.04265912
3,0.0271665
4,0.01665748
5,0.07756925
6,0.01714131
7,0.0829995
8,0.03133658
9,0.04594431
10,0.06237838
11,0.01919745
12,0.06492476
14,0.03322589
15,0.03014085
16,0.01612811
17,0.0163617
24,0.01182205
2,0.03387655
3,0.04068532
4,0.03529941
5,0.06234703
7,0.08877686
8,0.03083202
9,0.04912205
10,0.06528796
11,0.01988619
12,0.05975172
13,0.01196874
14,0.04112165
15,0.0267467
16,0.01399363
0,0.01578979
1,0.01930432
2,0.04996722
3,0.0214394
5,0.08609222
6,0.02661774
7,0.09917347
8,0.01790997
9,0.02380912
10,0.08346882
11,0.02718102
12,0.07902711
13,0.01692364
14,0.0359741
15,0.02709821
17,0.01592059
0,0.01208857
1,0.0156308
2,0.04329086
3,0.02650471
5,0.09361125
6,0.03465008
7,0.1018643
8,0.02288948
9,0.02832472
10,0.07686248
11,0.02802253
12,0.08191703
13,0.01211483
14,0.03103295
15,0.02968717
17,0.01287961
29,0.01059084
1,0.01043449
2,0.0411163
3,0.02616664
5,0.08766253
6,0.02923485
7,0.09532666
8,0.02689503
9,0.03256825
10,0.07366563
11,0.02254821
12,0.07168098
14,0.02172666
15,0.0360714
16,0.01605816
17,0.01993414
18,0.0112303
19,0.01253162
2,0.03183332
3,0.03982391
4,0.03205082
5,0.05839721
7,0.08422137
8,0.03667025
9,0.04950754
10,0.06348775
11,0.01799819
12,0.0586312
13,0.0163836
14,0.03464862
15,0.02477748
2,0.03183332
3,0.03982391
4,0.03205082
5,0.05839721
7,0.08422137
8,0.03667025
9,0.04950754
10,0.06348775
11,0.01799819
12,0.0586312
13,0.0163836
14,0.03464862
15,0.02477748
0,0.01452761
1,0.01769657
2,0.04613556
3,0.02113233
5,0.0835143
6,0.03215513
7,0.1029589
8,0.01579413
9,0.04116207
10,0.07129826
11,0.02568397
12,0.08948025
13,0.02112012
14,0.04366186
15,0.01594885
1,0.01277908
2,0.0419709
3,0.02532328
5,0.0870629
6,0.03144733
7,0.09923078
8,0.02046647
9,0.03469709
10,0.07456637
11,0.0228742
12,0.08010051
14,0.02636373
15,0.03173517
16,0.01413643
17,0.01803356
18,0.01066024
19,0.01258734
0,0.01559845
1,0.01834904
2,0.04583296
3,0.02936904
4,0.01849408
5,0.07400366
6,0.01139164
7,0.07699504
8,0.05185824
9,0.04603367
10,0.06286541
12,0.06223232
13,0.02312764
14,0.02828531
15,0.02431936
1,0.01077958
2,0.03817706
3,0.03531548
4,0.02722745
5,0.06681885
7,0.07828038
8,0.04017482
9,0.0493513
10,0.06400637
11,0.01561549
12,0.06552371
13,0.01437334
14,0.03754231
15,0.02338392
0,0.02086964
1,0.02419372
2,0.05247307
3,0.01653248
5,0.08434945
6,0.03094819
7,0.1031747
9,0.03127624
10,0.0735786
11,0.02408098
12,0.08544565
13,0.01652621
14,0.04119103
15,0.02202427
1,0.011633
2,0.03921507
3,0.0286041
5,0.09537454
6,0.03773787
7,0.1060646
8,0.01706123
9,0.03493014
10,0.07248762
11,0.02492333
12,0.08701737
14,0.02780487
15,0.02643265
17,0.01275317
2,0.03966114
3,0.02761606
4,0.0122204
5,0.07864578
6,0.01833307
7,0.08587657
8,0.03990572
9,0.03888301
10,0.07177711
11,0.0200927
12,0.06627603
13,0.01456373
14,0.02645483
15,0.03095243
16,0.01242552
17,0.01563576
22,0.01019469
24,0.01093095
0,0.01438588
1,0.01679882
2,0.0441067
3,0.02927626
4,0.02060476
5,0.06918608
6,0.01093725
7,0.07742538
8,0.04692245
9,0.04785468
10,0.05873064
12,0.05736335
13,0.01948615
14,0.03009405
15,0.02390197
2,0.03277035
3,0.04017124
4,0.03203852
5,0.06015215
7,0.08397946
8,0.03698072
9,0.04651963
10,0.05905486
11,0.01404359
12,0.05805599
13,0.01697274
14,0.03225843
15,0.02276113
0,0.01558022
1,0.01690439
2,0.03840677
3,0.04375786
4,0.03415722
5,0.05696882
6,0.02453532
7,0.09320222
8,0.03498943
9,0.0260567
10,0.06965597
12,0.05757925
13,0.01561362
14,0.01096645
15,0.03563571
16,0.01368403
0,0.0194003
1,0.02256951
2,0.05034262
3,0.02050432
5,0.08835042
6,0.0284951
7,0.09307727
8,0.02947921
10,0.08660778
11,0.03240144
12,0.07451592
13,0.01135413
14,0.018684
15,0.02857946
17,0.01052911
0,0.01388129
1,0.0171924
2,0.04402284
3,0.02577207
5,0.09164822
6,0.03114591
7,0.0948462
8,0.03012413
9,0.01561493
10,0.0865965
11,0.0316141
12,0.08178134
14,0.02086681
15,0.02622823
2,0.03613053
3,0.0315728
5,0.09905615
6,0.03695007
7,0.102331
8,0.03188498
9,0.01983289
10,0.08122505
11,0.02591409
12,0.0769405
14,0.01730159
15,0.03326393
16,0.01146508
17,0.01401964
2,0.03747306
3,0.02771172
5,0.08368399
6,0.02064743
7,0.08648161
8,0.04783882
9,0.03280946
10,0.07346664
11,0.01520851
12,0.06092463
13,0.02992283
14,0.02028184
15,0.03222932
16,0.01188032
17,0.01273538
22,0.01111177
29,0.01067926
2,0.03373967
3,0.03469869
4,0.02418455
5,0.06721117
7,0.07980829
8,0.05342804
9,0.04376419
10,0.06002855
11,0.01185162
12,0.06248226
13,0.02224911
14,0.02699346
15,0.02368022
2,0.03078209
3,0.03892903
4,0.02872503
5,0.0591611
6,0.0151135
7,0.08611454
8,0.04072732
9,0.03329158
10,0.06839219
12,0.05545785
13,0.01833522
14,0.01870925
15,0.03191252
16,0.013529
1,0.01075163
2,0.03900247
3,0.02597083
4,0.01260576
5,0.07664833
6,0.01613167
7,0.0867236
8,0.03288601
9,0.0108781
10,0.08735617
11,0.02664213
12,0.06610757
13,0.0219009
15,0.03782537
16,0.01747728
17,0.01183827
18,0.01218341
20,0.01213438
21,0.01044361
0,0.0164102
1,0.01952663
2,0.04410426
3,0.021298
5,0.08720137
6,0.02851634
7,0.0911358
8,0.03222435
9,0.0102637
10,0.08969061
11,0.03522444
12,0.08026432
14,0.01959147
15,0.02312781
0,0.01346856
1,0.01611523
2,0.04196297
3,0.02718799
4,0.01744793
5,0.07310598
6,0.01260019
7,0.08108942
8,0.04778184
9,0.04528826
10,0.06345772
11,0.01094105
12,0.06612998
13,0.01807877
14,0.02823248
15,0.02012419
0,0.01346856
1,0.01611523
2,0.04196297
3,0.02718799
4,0.01744793
5,0.07310598
6,0.01260019
7,0.08108942
8,0.04778184
9,0.04528826
10,0.06345772
11,0.01094105
12,0.06612998
13,0.01807877
14,0.02823248
15,0.02012419
2,0.03003318
3,0.03980693
4,0.03133478
5,0.06149479
6,0.01043505
7,0.08772642
8,0.04210147
9,0.043961
10,0.06011292
11,0.01256409
12,0.06573041
13,0.01608273
14,0.025035
15,0.02150789
1,0.01126733
2,0.03671427
3,0.03636194
4,0.03371565
5,0.05893886
6,0.01021414
7,0.1016352
8,0.01874646
9,0.03708466
10,0.06332318
11,0.02487272
12,0.07135855
14,0.01944462
15,0.02787634
16,0.01655553
0,0.01406715
1,0.01735713
2,0.04501659
3,0.02162156
5,0.08997265
6,0.0329857
7,0.1144916
8,0.01914825
9,0.02970337
10,0.07054635
11,0.02404532
12,0.09547108
13,0.01399806
14,0.03665683
15,0.01350972
0,0.01380805
1,0.0167325
2,0.04442325
3,0.0253498
5,0.09425554
6,0.03725522
7,0.1131929
8,0.0256183
9,0.03397366
10,0.0643292
11,0.02097327
12,0.0885164
14,0.01826233
15,0.02403659
17,0.01365518
2,0.03686936
3,0.03583125
4,0.02751138
5,0.06705185
7,0.09150692
8,0.04067486
9,0.04841524
10,0.05453085
11,0.01409145
12,0.07471441
14,0.03812706
15,0.01797953
2,0.03686936
3,0.03583125
4,0.02751138
5,0.06705185
7,0.09150692
8,0.04067486
9,0.04841524
10,0.05453085
11,0.01409145
12,0.07471441
14,0.03812706
15,0.01797953
0,0.01306247
1,0.01673523
2,0.04579024
3,0.02095426
4,0.01087265
5,0.08329368
6,0.02652773
7,0.1067446
8,0.02144443
9,0.0186445
10,0.0749563
11,0.02743592
12,0.08974974
13,0.01253618
14,0.02859284
15,0.02569427
16,0.01161796
17,0.0141471
0,0.01041787
1,0.01378542
2,0.04182063
3,0.02585288
5,0.09369448
6,0.03723326
7,0.1164882
8,0.0188181
9,0.02999529
10,0.06670781
11,0.02293993
12,0.09456463
13,0.010801
14,0.03100552
15,0.02239458
2,0.04300195
3,0.02571916
4,0.01281586
5,0.08181914
6,0.02268274
7,0.1040488
8,0.02823304
9,0.04297454
10,0.06070141
11,0.02178764
12,0.08222874
14,0.0252105
15,0.02781159
16,0.0153141
17,0.01831556
18,0.01249623
19,0.01200056
26,0.0106158
0,0.01477268
1,0.01743013
2,0.04509367
3,0.02831092
4,0.02434676
5,0.07278945
6,0.01157229
7,0.09419963
8,0.04078601
9,0.0534745
10,0.05365101
11,0.0136434
12,0.07264084
14,0.03399755
15,0.01922094
1,0.01038027
2,0.04317942
3,0.0281289
4,0.01802623
5,0.07907902
6,0.01942602
7,0.1055202
8,0.02321951
9,0.01697758
10,0.07773246
11,0.02490028
12,0.08740942
13,0.01207493
14,0.02312662
15,0.03124923
16,0.01774856
17,0.01632293
18,0.01131489
20,0.01205695
21,0.01084783
26,0.01030775
31,0.01174632
0,0.01272098
1,0.01606355
2,0.04566826
3,0.02450309
5,0.09642086
6,0.03629559
7,0.1158179
8,0.02379908
9,0.02497976
10,0.07063808
11,0.02726287
12,0.09754203
13,0.01186419
14,0.03025934
15,0.01988123
29,0.01032323
0,0.01081068
1,0.01420216
2,0.04459684
3,0.02604363
5,0.09437565
6,0.03473071
7,0.115744
8,0.02413874
9,0.03137349
10,0.06565801
11,0.01840105
12,0.08771553
14,0.02501076
15,0.0266101
16,0.01264993
17,0.01565231
19,0.01078391
0,0.01539288
1,0.01807558
2,0.04566517
3,0.02836138
4,0.02332708
5,0.07395574
6,0.01310236
7,0.09333505
8,0.04479647
9,0.05020252
10,0.05197402
12,0.07214081
14,0.03639679
15,0.01993288
2,0.03645924
3,0.03801574
4,0.02976616
5,0.06829439
7,0.09259575
8,0.04491942
9,0.04602036
10,0.05770488
11,0.01289807
12,0.07219519
13,0.01561165
