frequency,quantity
2,0.02542782
4,0.01523792
7,0.01251013
8,0.02566332
9,0.0234501
10,0.01470059
11,0.01667712
12,0.01851484
13,0.0135215
14,0.01472399
15,0.01634704
2,0.02542782
4,0.01523792
7,0.01251013
8,0.02566332
9,0.0234501
10,0.01470059
11,0.01667712
12,0.01851484
13,0.0135215
14,0.01472399
15,0.01634704
2,0.02542782
4,0.01523792
7,0.01251013
8,0.02566332
9,0.0234501
10,0.01470059
11,0.01667712
12,0.01851484
13,0.0135215
14,0.01472399
15,0.01634704
2,0.03958363
3,0.04135207
4,0.02688652
5,0.04476153
6,0.01123398
7,0.0502139
8,0.02362151
9,0.02331028
10,0.03765105
12,0.02568479
14,0.0249378
15,0.02378314
2,0.04798986
3,0.0426399
4,0.0203123
5,0.05326483
7,0.04511866
8,0.02200926
10,0.05053116
11,0.01663613
12,0.03030594
14,0.01084321
15,0.03812665
16,0.0160005
17,0.01268146
0,0.0135047
1,0.01730119
2,0.05372012
3,0.03330131
5,0.0788154
6,0.02750447
7,0.06737357
8,0.01004429
9,0.02096021
10,0.04951304
11,0.01525471
12,0.04365391
14,0.02733924
15,0.03285163
16,0.01232523
17,0.01476549
2,0.04453894
3,0.03101418
4,0.01206918
5,0.07238742
6,0.01915135
7,0.06354883
8,0.02201545
9,0.02688002
10,0.0452273
11,0.0127348
12,0.04656859
14,0.02464883
15,0.02893857
16,0.01197506
17,0.01676514
31,0.01022225
0,0.01620388
1,0.01922777
2,0.051887
3,0.03075495
4,0.0226177
5,0.06280138
7,0.06000102
8,0.02722086
9,0.03602945
10,0.03498215
11,0.01091747
12,0.03861177
13,0.01011313
14,0.02935092
15,0.0163582
2,0.03877671
3,0.04407503
4,0.03209329
5,0.05560334
6,0.01050857
7,0.06723146
8,0.02644926
9,0.02750817
10,0.04159771
12,0.04410841
13,0.01256773
14,0.02248513
15,0.0227485
2,0.04151784
3,0.03981443
4,0.02829949
5,0.05864236
7,0.07068087
8,0.01937895
9,0.01652802
10,0.05013784
11,0.01568075
12,0.04915053
14,0.01358271
15,0.02967325
16,0.01420764
17,0.01171465
0,0.02052436
1,0.02421981
2,0.05777667
3,0.02335575
5,0.08178015
6,0.02432428
7,0.08163079
8,0.02193931
9,0.01447224
10,0.05406028
11,0.02069466
12,0.0671886
14,0.02640631
15,0.02164634
17,0.01209463
0,0.01237411
1,0.01595224
2,0.04856212
3,0.03231465
5,0.09062085
6,0.0337562
7,0.08837264
8,0.01867963
9,0.02578011
10,0.04603086
11,0.01253391
12,0.05918274
14,0.02447391
15,0.02419316
17,0.01669966
0,0.0101888
1,0.0140178
2,0.04810525
3,0.03563678
4,0.01591857
5,0.07889961
6,0.01387737
7,0.06948692
8,0.04212724
9,0.03400369
10,0.04232128
12,0.04398226
13,0.0214131
14,0.03012957
15,0.02016762
0,0.01971914
1,0.02282858
2,0.05348152
3,0.03232533
4,0.01647931
5,0.07059625
6,0.01390523
7,0.06995942
8,0.04636712
9,0.03333011
10,0.04046255
12,0.04979428
13,0.0211597
14,0.02185725
15,0.02643225
17,0.01178823
2,0.03359296
3,0.04599121
4,0.02988464
5,0.05494025
6,0.02114804
7,0.08063213
8,0.04262263
9,0.02330905
10,0.04472116
12,0.05136259
13,0.02500949
14,0.02031954
15,0.03089893
2,0.03359296
3,0.04599121
4,0.02988464
5,0.05494025
6,0.02114804
7,0.08063213
8,0.04262263
9,0.02330905
10,0.04472116
12,0.05136259
13,0.02500949
14,0.02031954
15,0.03089893
0,0.01273616
1,0.01412313
2,0.03594444
3,0.04426346
4,0.0279868
5,0.05234884
6,0.02741257
7,0.08400694
8,0.04327219
9,0.01129225
10,0.05094272
12,0.04449936
13,0.02745772
14,0.0100422
15,0.03955011
18,0.0101843
2,0.03374505
3,0.03888404
4,0.02080332
5,0.05891714
6,0.02342509
7,0.07709173
8,0.05469222
9,0.01521483
10,0.05766639
12,0.03749168
13,0.03642819
14,0.01180633
15,0.04409696
16,0.01312735
18,0.01443546
19,0.0111172
32,0.01230453
1,0.01109091
2,0.03636222
3,0.03029438
5,0.07539309
6,0.01520264
7,0.06977537
8,0.05817548
9,0.01890147
10,0.0709902
11,0.02212231
12,0.04648808
13,0.03044366
14,0.01098544
15,0.04377939
16,0.01361623
17,0.01268121
18,0.0106064
20,0.01198613
0,0.01894301
1,0.0221013
2,0.04686591
3,0.02684661
5,0.08397769
6,0.02221392
7,0.07199045
8,0.0546464
9,0.01821772
10,0.0672362
11,0.02561891
12,0.054147
13,0.01836308
15,0.03007539
17,0.01019474
0,0.01763046
1,0.02093754
2,0.04507346
3,0.03034079
5,0.08341096
6,0.02104126
7,0.06871416
8,0.05913206
9,0.02249294
10,0.06746235
11,0.0236251
12,0.05004793
13,0.01969255
15,0.02900544
0,0.01188922
1,0.01501718
2,0.04000498
3,0.03259369
5,0.08623668
6,0.02467144
7,0.07426952
8,0.05066664
9,0.01536392
10,0.06192131
11,0.02051562
12,0.04907791
13,0.0178913
15,0.03353015
17,0.01258677
2,0.0327505
3,0.03469558
4,0.0135141
5,0.08896916
6,0.03275741
7,0.08769024
8,0.03325042
9,0.01049314
10,0.05719788
11,0.01846732
12,0.04822874
13,0.0135857
15,0.03220113
16,0.01033015
17,0.01370894
2,0.0354656
3,0.02951919
5,0.07886335
6,0.02847004
7,0.08440401
8,0.03261425
9,0.01849625
10,0.05116375
11,0.01353596
12,0.04226796
13,0.01352617
14,0.01513803
15,0.03065575
16,0.01243427
17,0.0145007
2,0.0354656
3,0.02951919
5,0.07886335
6,0.02847004
7,0.08440401
8,0.03261425
9,0.01849625
10,0.05116375
11,0.01353596
12,0.04226796
13,0.01352617
14,0.01513803
15,0.03065575
16,0.01243427
17,0.0145007
0,0.01335634
1,0.01617707
2,0.04036385
3,0.02804243
4,0.01156024
5,0.06105216
6,0.01218747
7,0.06626244
8,0.05155144
9,0.03038205
10,0.03438683
12,0.03568353
13,0.0208019
14,0.01705634
15,0.0200472
17,0.0107702
1,0.01218328
2,0.03516522
3,0.03122948
4,0.01632987
5,0.05422282
6,0.01282183
7,0.0677031
8,0.05319154
9,0.03011577
10,0.03514424
11,0.01181061
12,0.04088349
13,0.01859343
14,0.0142125
15,0.02163962
1,0.01218328
2,0.03516522
3,0.03122948
4,0.01632987
5,0.05422282
6,0.01282183
7,0.0677031
8,0.05319154
9,0.03011577
10,0.03514424
11,0.01181061
12,0.04088349
13,0.01859343
14,0.0142125
15,0.02163962
1,0.01036395
2,0.03057263
3,0.03737628
4,0.02272595
5,0.04671814
6,0.02204173
7,0.07416628
8,0.04439756
9,0.0156629
10,0.04535452
12,0.03212243
13,0.02484103
14,0.01003113
15,0.02912518
18,0.01000157
1,0.01036395
2,0.03057263
3,0.03737628
4,0.02272595
5,0.04671814
6,0.02204173
7,0.07416628
8,0.04439756
9,0.0156629
10,0.04535452
12,0.03212243
13,0.02484103
14,0.01003113
15,0.02912518
18,0.01000157
0,0.01103205
1,0.01262196
2,0.03360648
3,0.03733493
4,0.02360422
5,0.04685093
6,0.02313167
7,0.07507104
8,0.04158631
9,0.01191815
10,0.04771606
12,0.03436428
13,0.02320439
15,0.03139952
