frequency,quantity
3,0.01866127
9,0.01113064
3,0.01866127
9,0.01113064
2,0.01600161
3,0.01164134
4,0.01055397
5,0.01343746
8,0.01877106
9,0.02099185
10,0.01749448
11,0.01291172
2,0.01904353
3,0.01892903
4,0.01558855
5,0.02263087
6,0.0162029
7,0.01873945
8,0.03152515
9,0.03351352
10,0.02277726
11,0.01913429
12,0.0156267
13,0.01421062
14,0.01817744
15,0.01892336
16,0.01065887
2,0.01904353
3,0.01892903
4,0.01558855
5,0.02263087
6,0.0162029
7,0.01873945
8,0.03152515
9,0.03351352
10,0.02277726
11,0.01913429
12,0.0156267
13,0.01421062
14,0.01817744
15,0.01892336
16,0.01065887
2,0.03749058
3,0.02190352
4,0.02661763
5,0.04133494
6,0.01524346
7,0.04048297
8,0.01963592
9,0.07063659
10,0.03461048
11,0.03725677
12,0.02805097
14,0.03662221
16,0.01290572
0,0.01688741
1,0.02046351
2,0.05459816
3,0.01584083
4,0.01425736
5,0.0738747
6,0.02662229
7,0.08503263
8,0.0224398
9,0.07335956
10,0.0427798
12,0.06718733
13,0.02024074
14,0.04905896
17,0.01614294
19,0.01571839
21,0.0103942
0,0.01222818
1,0.01525151
2,0.04870394
3,0.0323751
4,0.03080308
5,0.06670104
6,0.015955
7,0.06007704
8,0.02500809
9,0.07112986
10,0.05420563
11,0.03079695
12,0.04971182
14,0.03804534
15,0.01151882
16,0.01425506
1,0.01144314
2,0.04472305
3,0.04077079
4,0.04017903
5,0.05732461
7,0.07098844
8,0.01806896
9,0.06591073
10,0.05777472
11,0.0340872
12,0.05672388
14,0.04558339
15,0.01321896
16,0.01033085
17,0.01274515
0,0.01596334
1,0.01972762
2,0.05415855
3,0.02028903
4,0.01181363
5,0.08374032
6,0.03173669
7,0.09322394
8,0.02315171
9,0.06606727
10,0.05398629
12,0.08780658
13,0.0292315
14,0.07029581
1,0.01301049
2,0.04672363
3,0.03014814
4,0.02127932
5,0.07725597
6,0.01652902
7,0.07570677
8,0.03400373
9,0.05522717
10,0.06697179
11,0.02130332
12,0.06615141
14,0.04355736
15,0.03488819
16,0.01802441
17,0.01322612
22,0.01078228
24,0.0104143
0,0.01692934
1,0.01981145
2,0.05048823
3,0.03026497
4,0.02219524
5,0.08102522
6,0.01625149
7,0.07699583
8,0.04054588
9,0.05094022
10,0.06613097
11,0.01472474
12,0.0582911
13,0.02024848
14,0.0494664
15,0.03537849
16,0.01265846
0,0.01325941
1,0.01475441
2,0.03894865
3,0.04485818
4,0.03531263
5,0.06054282
6,0.02197603
7,0.09417761
8,0.03070683
9,0.02314681
10,0.08245916
11,0.01333087
12,0.0674898
13,0.01994307
14,0.02323488
15,0.05555192
16,0.02094924
18,0.01236301
19,0.01318009
1,0.01061846
2,0.03979426
3,0.03274909
4,0.01472233
5,0.07719877
6,0.01328498
7,0.07996403
8,0.04589822
10,0.1046287
11,0.03132875
12,0.07370291
13,0.0241891
15,0.05604241
16,0.02124909
17,0.01815451
18,0.01219605
20,0.01510281
21,0.01109376
0,0.02015831
1,0.02348495
2,0.05073086
3,0.02051705
5,0.08647557
6,0.02460248
7,0.08599439
8,0.03880899
9,0.01229438
10,0.1023574
11,0.03829132
12,0.08639809
14,0.01972143
15,0.03719325
17,0.01136111
0,0.0100867
1,0.01341529
2,0.0400494
3,0.02821412
5,0.09274451
6,0.03226985
7,0.09210722
8,0.02877584
9,0.02718198
10,0.08898094
11,0.0302147
12,0.08251557
14,0.01437112
15,0.0364112
16,0.01357024
17,0.01690787
34,0.0110725
2,0.03600857
3,0.02774742
5,0.08507631
6,0.02166651
7,0.07947794
8,0.04834236
9,0.03625824
10,0.08219894
11,0.0107081
12,0.05864429
13,0.02895165
14,0.02652148
15,0.0304024
20,0.01091775
22,0.01044688
2,0.03600857
3,0.02774742
5,0.08507631
6,0.02166651
7,0.07947794
8,0.04834236
9,0.03625824
10,0.08219894
11,0.0107081
12,0.05864429
13,0.02895165
14,0.02652148
15,0.0304024
20,0.01091775
22,0.01044688
0,0.0121483
1,0.01485495
2,0.04017297
3,0.03012412
4,0.01724689
5,0.073001
6,0.01047661
7,0.0727716
8,0.05117867
9,0.04546551
10,0.07328892
12,0.06299688
13,0.0232983
14,0.02638265
15,0.02140879
2,0.02715602
3,0.04320124
4,0.03135005
5,0.06059336
6,0.02097022
7,0.08511834
8,0.04040062
9,0.03512035
10,0.07783283
12,0.05984554
13,0.02329507
14,0.02109703
15,0.02754094
0,0.01347383
1,0.01454786
2,0.03503489
3,0.04100907
4,0.03364454
5,0.05446117
6,0.02250796
7,0.0911525
8,0.02805764
9,0.02592694
10,0.08440313
11,0.02047392
