frequency,quantity
frequency,quantity
frequency,quantity
frequency,quantity
frequency,quantity
0,0.0001418781
1,5.795595E-05
2,0.0002296119
3,8.95102E-05
4,7.900214E-05
5,1.950853E-05
6,1.224844E-05
7,4.911736E-05
8,1.374542E-05
9,2.320977E-05
10,1.392535E-05
11,2.060258E-05
12,2.096086E-05
13,7.66197E-06
14,1.398411E-05
15,1.575663E-05
16,1.491295E-05
17,5.831529E-06
18,1.387399E-05
19,1.014172E-05
20,1.572708E-05
21,1.479951E-06
22,5.622609E-06
23,1.719492E-05
24,3.195159E-06
25,3.780963E-05
26,3.94991E-05
27,5.54704E-06
28,2.223935E-05
29,1.053593E-05
30,4.544008E-05
31,1.332204E-05
32,3.087427E-05
33,1.633207E-05
34,3.453342E-05
35,2.443414E-05
36,1.571536E-05
37,2.106774E-05
38,8.197516E-06
39,1.310693E-05
40,1.511902E-05
41,1.131861E-05
42,1.526976E-05
43,1.160919E-05
44,4.5323E-06
45,1.159929E-05
46,1.699443E-05
47,1.818013E-05
48,5.134575E-06
49,1.777318E-05
50,8.479259E-06
51,1.300722E-05
52,2.247974E-05
53,8.683438E-06
54,1.397517E-05
55,3.137246E-06
56,1.12661E-05
57,9.444501E-06
58,1.17372E-05
59,6.795962E-06
60,6.653113E-06
61,8.585971E-06
62,5.68051E-06
63,8.03211E-06
64,7.118455E-06
65,6.35967E-06
66,6.57205E-06
67,4.180203E-06
68,6.152857E-06
69,6.717244E-06
70,6.948248E-06
71,1.045708E-05
72,1.884515E-06
73,4.624141E-06
74,9.092633E-06
75,1.193114E-05
76,4.92395E-06
77,3.80015E-06
78,2.553645E-06
79,5.623344E-06
80,3.937247E-06
81,4.684125E-06
82,7.942485E-06
83,1.502201E-06
84,7.90682E-07
85,4.761116E-06
86,5.911336E-06
87,2.50547E-06
88,2.918842E-06
89,2.661904E-06
90,9.063993E-06
91,2.387148E-06
92,5.487198E-06
93,3.346284E-06
94,2.777708E-06
95,3.500322E-06
96,2.443136E-06
97,1.751317E-06
98,2.742809E-06
99,3.978386E-06
100,2.015568E-06
101,2.232468E-06
102,2.82748E-06
103,3.658722E-06
104,9.579334E-07
105,1.958128E-06
106,3.214461E-06
107,2.619214E-06
108,2.67481E-06
109,2.85738E-06
110,2.698396E-06
111,5.884605E-07
112,2.228999E-06
113,1.396709E-06
114,5.90846E-07
115,2.257906E-06
116,1.092241E-06
117,2.189314E-06
118,1.557214E-06
119,1.568759E-06
120,1.143859E-06
121,3.487294E-06
122,7.517061E-07
123,5.816317E-07
124,5.007791E-06
125,1.262739E-06
126,2.225401E-06
127,1.075782E-06
128,2.5949E-06
129,8.000398E-06
130,5.459042E-06
131,4.594926E-06
132,4.22421E-06
133,5.319239E-06
134,3.69953E-06
135,3.300215E-06
136,3.578984E-06
137,4.125784E-06
138,3.429213E-06
139,2.426257E-06
140,4.281525E-06
141,1.49065E-06
142,3.406088E-06
143,3.488608E-06
144,2.017067E-06
145,4.455384E-07
146,2.155787E-06
147,1.753417E-06
148,1.580133E-06
149,2.634466E-06
150,3.74031E-06
151,2.578348E-06
152,2.427684E-06
153,7.641153E-06
154,4.309163E-06
155,3.694633E-06
156,2.350792E-06
157,1.31152E-06
158,2.290913E-07
159,1.729422E-06
160,1.15076E-06
161,2.910726E-06
162,1.255705E-06
163,2.539266E-06
164,2.7127E-06
165,5.741962E-06
166,3.506149E-06
167,3.305754E-06
168,1.270645E-05
169,1.907967E-05
170,2.70537E-05
171,4.710726E-05
172,1.075286E-05
173,1.026621E-05
174,2.558786E-06
175,2.369605E-06
176,3.777406E-06
177,6.552588E-06
178,2.660589E-06
179,1.242111E-06
180,3.46988E-06
181,3.331858E-06
182,1.442922E-06
183,3.790901E-06
184,1.32252E-06
185,5.237252E-06
186,2.363012E-06
187,3.593336E-06
188,3.648922E-06
189,1.231372E-06
190,1.507195E-06
191,1.495821E-06
192,2.20336E-06
193,3.594485E-06
194,5.667782E-07
195,4.519313E-06
196,4.773774E-06
197,1.101763E-06
198,3.959404E-06
199,9.263171E-06
200,6.579436E-06
201,4.563621E-06
202,4.185235E-06
