frequency,quantity
23,0.01057266
24,0.01052086
25,0.01316764
23,0.01057266
24,0.01052086
25,0.01316764
23,0.01057266
24,0.01052086
25,0.01316764
21,0.01529478
26,0.0107029
28,0.02036512
29,0.01620213
30,0.0132099
20,0.01465369
21,0.01592395
22,0.01616165
26,0.03649982
27,0.02624969
28,0.03591397
29,0.0124241
30,0.01068097
31,0.01038903
20,0.01465369
21,0.01592395
22,0.01616165
26,0.03649982
27,0.02624969
28,0.03591397
29,0.0124241
30,0.01068097
31,0.01038903
20,0.01436026
21,0.0239675
24,0.0103955
26,0.01913742
27,0.03820782
28,0.02299428
29,0.02770946
16,0.01112124
20,0.02000583
22,0.01362706
23,0.01090557
24,0.01258515
26,0.01784253
28,0.01908323
29,0.0186
31,0.01582206
33,0.01127565
11,0.01089957
20,0.01249845
21,0.01454325
22,0.01224526
24,0.0120303
25,0.01413702
27,0.01567778
28,0.03496497
30,0.01501668
32,0.01038894
62,0.01333975
4,0.0127436
20,0.02255581
21,0.01471065
22,0.01468962
23,0.01129049
25,0.02697209
26,0.01407891
28,0.01788594
29,0.02802954
31,0.02108031
4,0.0127436
20,0.02255581
21,0.01471065
22,0.01468962
23,0.01129049
25,0.02697209
26,0.01407891
28,0.01788594
29,0.02802954
31,0.02108031
8,0.01046651
20,0.0103085
21,0.02440068
22,0.01306674
26,0.04560962
27,0.01586689
28,0.01737562
29,0.02471886
32,0.01092811
63,0.01224572
20,0.03224411
21,0.01460524
20,0.01418787
21,0.01006569
22,0.01494668
23,0.0170275
24,0.01434314
25,0.01644881
27,0.01762273
28,0.03642715
29,0.03537278
30,0.02163643
32,0.01421147
20,0.01418787
21,0.01006569
22,0.01494668
23,0.0170275
24,0.01434314
25,0.01644881
27,0.01762273
28,0.03642715
29,0.03537278
30,0.02163643
32,0.01421147
20,0.01383436
26,0.01318143
27,0.02001982
29,0.02380077
31,0.01219584
32,0.01000359
16,0.011125
21,0.01762478
22,0.01383245
27,0.0254846
28,0.02056449
29,0.01326397
31,0.01161607
58,0.01123724
63,0.01636888
16,0.011125
21,0.01762478
22,0.01383245
27,0.0254846
28,0.02056449
29,0.01326397
31,0.01161607
58,0.01123724
63,0.01636888
4,0.01060381
11,0.01128598
20,0.02633333
21,0.01376083
22,0.01404725
26,0.02953649
27,0.0105615
28,0.02501062
29,0.01827582
30,0.01749504
34,0.01592276
63,0.01056057
23,0.01136168
25,0.01422193
26,0.01507786
27,0.02893687
28,0.01667043
29,0.02199336
30,0.01375561
31,0.01591897
32,0.01132992
23,0.01136168
25,0.01422193
26,0.01507786
27,0.02893687
28,0.01667043
29,0.02199336
30,0.01375561
31,0.01591897
32,0.01132992
21,0.01476426
22,0.0120612
24,0.01206041
25,0.01472802
26,0.02236696
29,0.01209808
30,0.01287161
31,0.01509281
32,0.01077463
63,0.01272621
19,0.01002226
21,0.02447033
25,0.01165088
26,0.01458132
28,0.01166458
19,0.01002226
21,0.02447033
25,0.01165088
26,0.01458132
28,0.01166458
25,0.01280838
26,0.02345696
27,0.02688853
28,0.03858354
29,0.01122678
31,0.01328471
34,0.01321778
62,0.01047865
21,0.01553076
24,0.01066575
27,0.02500993
28,0.01341866
30,0.02202225
21,0.01553076
24,0.01066575
27,0.02500993
28,0.01341866
30,0.02202225
20,0.01046387
21,0.01114586
22,0.0155983
24,0.01023323
26,0.02642741
28,0.01786942
29,0.01296829
20,0.01046387
21,0.01114586
22,0.0155983
24,0.01023323
26,0.02642741
28,0.01786942
29,0.01296829
19,0.01242802
20,0.01326051
21,0.01665434
22,0.01343684
26,0.02523658
27,0.02563804
31,0.01598486
32,0.01265693
20,0.01376624
21,0.01636328
27,0.03025785
29,0.01288291
31,0.01155344
34,0.01057993
20,0.01376624
21,0.01636328
27,0.03025785
29,0.01288291
31,0.01155344
34,0.01057993
20,0.01201399
22,0.01424972
26,0.01101644
27,0.01378162
29,0.01505825
34,0.01012718
64,0.01008311
20,0.01313487
24,0.02024723
25,0.01811879
26,0.01419829
27,0.01133028
28,0.02028477
29,0.01515733
27,0.02132096
31,0.01082328
27,0.02132096
31,0.01082328
20,0.01428191
25,0.01551869
27,0.02415908
31,0.01316089
20,0.01428191
25,0.01551869
27,0.02415908
31,0.01316089
19,0.01398805
22,0.01051451
26,0.0206342
28,0.01545674
20,0.01636882
21,0.01169816
25,0.01342506
26,0.01952321
27,0.01272815
28,0.01228878
29,0.0154526
20,0.01636882
21,0.01169816
25,0.01342506
26,0.01952321
27,0.01272815
28,0.01228878
29,0.0154526
20,0.01257274
21,0.01206196
22,0.01157491
27,0.01956271
28,0.01751226
29,0.01330138
30,0.01139823
20,0.01094625
21,0.01156523
26,0.01183425
28,0.01413094
20,0.01094625
21,0.01156523
26,0.01183425
28,0.01413094
20,0.01307772
23,0.01098636
26,0.02901319
27,0.02341691
31,0.01120951
20,0.01679057
26,0.01156866
27,0.01027571
28,0.01561201
29,0.01680752
20,0.01078218
25,0.0121864
26,0.01109028
27,0.03372037
28,0.02458334
29,0.01385557
20,0.01078218
