frequency,quantity
3,0.01431793
3,0.01431793
1,0.01265452
2,0.02987862
3,0.01502552
21,0.02751891
26,0.01207705
27,0.01092098
29,0.01683858
30,0.01691292
41,0.01027579
1,0.01265452
2,0.02987862
3,0.01502552
21,0.02751891
26,0.01207705
27,0.01092098
29,0.01683858
30,0.01691292
41,0.01027579
2,0.02133621
3,0.01364745
22,0.01136116
26,0.0110728
27,0.01103377
28,0.01675151
29,0.0103222
30,0.01251414
31,0.01270327
32,0.017654
40,0.0164464
51,0.01301112
53,0.0105476
54,0.0108258
64,0.01553693
3,0.01669229
12,0.01048713
20,0.01361837
21,0.02705428
22,0.0207255
23,0.0195521
25,0.02347477
26,0.01719531
27,0.0228102
28,0.01862483
29,0.01535503
30,0.01478381
31,0.01328027
40,0.01015295
60,0.01059622
66,0.01752857
2,0.01124694
3,0.02736586
4,0.02411669
11,0.01097625
16,0.01074313
18,0.01027337
20,0.02156568
22,0.01330223
24,0.01083954
25,0.01997667
26,0.04393127
27,0.02460479
29,0.05658058
30,0.01168368
31,0.01293702
32,0.01516825
33,0.01485976
38,0.01084325
39,0.01022725
40,0.01429308
41,0.01247037
51,0.01873205
53,0.01796383
57,0.01175767
66,0.01314638
67,0.01275519
4,0.01526981
5,0.02326301
15,0.01120694
18,0.01065742
19,0.01749234
21,0.01737068
22,0.01694294
27,0.03320228
28,0.04243635
29,0.03999547
34,0.01422515
41,0.01279114
42,0.01998225
45,0.01685906
46,0.01376881
47,0.01018151
51,0.01360202
52,0.01583478
53,0.01734799
54,0.01107762
57,0.01171917
63,0.01298558
64,0.01784002
66,0.01624611
1,0.01187952
5,0.02420834
16,0.01136432
20,0.01438105
22,0.01137711
23,0.03106638
24,0.01339489
25,0.01313263
26,0.03824795
27,0.03792782
28,0.01344419
29,0.03449738
31,0.01231471
32,0.01341958
36,0.01428044
40,0.01046681
46,0.01321717
52,0.01456209
53,0.02357683
55,0.01830824
64,0.01078375
67,0.01113547
72,0.01072831
3,0.01386567
5,0.02075975
6,0.01289837
20,0.02707132
21,0.02336386
22,0.01219826
23,0.01139423
24,0.01239607
25,0.0100386
26,0.02461883
27,0.024041
28,0.0144441
30,0.01923242
31,0.01252164
32,0.01358809
33,0.01103271
37,0.01143718
39,0.01162397
41,0.01421293
46,0.01346125
54,0.01550094
55,0.01668837
64,0.01137982
67,0.01218795
2,0.02712595
4,0.01468472
11,0.0103651
18,0.01076767
20,0.01927018
21,0.01407489
22,0.01499282
23,0.01133267
24,0.01471467
27,0.02953365
28,0.02065185
29,0.01004343
30,0.02154996
31,0.02503818
32,0.01511664
33,0.01151548
35,0.01017267
42,0.01034887
46,0.01241162
51,0.01602248
52,0.01111089
54,0.01272581
55,0.01618785
64,0.01824588
3,0.01584841
5,0.01173525
11,0.01230134
20,0.01364027
21,0.02937178
23,0.02025743
24,0.01641143
25,0.0125562
26,0.0157465
27,0.04685905
29,0.01768861
31,0.01267835
32,0.02015639
33,0.01510344
41,0.01204763
51,0.01053445
52,0.01152704
53,0.01654146
56,0.0100697
64,0.01011846
2,0.01718934
3,0.01381079
5,0.01202228
10,0.01109668
20,0.0177326
21,0.01273885
22,0.01321538
